round,status,p_bar_raw,sigma_raw,p_bar_filtered,sigma_filtered,rel_dispersion,num_reveals,num_outliers,outliers,verified_ops,all_verified_ops,y_actual,p_true,weights_after,p_op_0,p_op_1,p_op_2,p_op_3,p_op_4,p_op_5
42,rejected,0.0034208541123065214,0.001465375529916073,0.0034208541123065214,0.001465375529916073,0.4283652717837673,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.0029141497578141413,"{0: 0.176248, 1: 0.176241, 2: 0.176291, 3: 0.176288, 4: 0.176273, 5: 0.118659}",0.004284626927324308,0.005848420424611378,0.0016038273937056318,0.002066394638088297,0.0037501934736202023,0.0027547560594662064
43,rejected,0.004641408489401259,0.0011719985043668376,0.004641408489401259,0.0011719985043668376,0.25250918003315953,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.004532335849950032,"{0: 0.176248, 1: 0.176239, 2: 0.176293, 3: 0.176287, 4: 0.176273, 5: 0.11866}",0.005020153759671919,0.006097319095240075,0.0023905575595703386,0.0050274627086570505,0.005014692713786295,0.004132431262059506
44,rejected,0.0027393311529703137,0.0011113859355675075,0.0027393311529703137,0.0011113859355675075,0.4057141936447572,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.0018041536324317586,"{0: 0.176248, 1: 0.17624, 2: 0.176291, 3: 0.176287, 4: 0.176273, 5: 0.11866}",0.00253526671709948,0.0017027307032605812,0.0049924656622949756,0.0028301545521747457,0.0019029397511593563,0.002342097001561509
45,accepted,0.012153823160830258,0.02591050177439129,0.012153823160830258,0.02591050177439129,2.131880586021353,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.002116953187835378,"{0: 0.176348, 1: 0.176338, 2: 0.17639, 3: 0.176388, 4: 0.176374, 5: 0.118162}",0.0034074353923257725,0.00403268681257431,0.004595868161511824,0.0012915831881955859,0.0,0.08262809993532952
46,accepted,0.03725071773594887,0.0006832497168328941,0.03725071773594887,0.0006832497168328941,0.01834192037141884,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.03716440013435755,"{0: 0.176338, 1: 0.176336, 2: 0.176399, 3: 0.176386, 4: 0.17638, 5: 0.11816}",0.038268594959746334,0.037507806866056086,0.03622339755852067,0.03744321502125387,0.03661994335371105,0.037535679223870154
47,rejected,0.0008698276614992448,0.0008681624166129235,0.0008698276614992448,0.0008681624166129235,0.9980843987326776,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.000474723505782263,"{0: 0.176338, 1: 0.176336, 2: 0.176399, 3: 0.176387, 4: 0.17638, 5: 0.11816}",0.0012339881117334464,0.0024510542884227846,0.0009497157685447088,0.0,0.0,0.00044422539793325527
48,rejected,0.0012247333778872664,0.0012352460624665692,0.0012247333778872664,0.0012352460624665692,1.0085828280556932,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.0018041536324317586,"{0: 0.176338, 1: 0.176335, 2: 0.1764, 3: 0.176387, 4: 0.17638, 5: 0.11816}",0.002402982952980514,0.0032132386611965907,0.0,0.0008261755730627201,0.0,0.0007503423642311764
49,rejected,0.005111622529766957,0.0011796295429252624,0.005111622529766957,0.0011796295429252624,0.23077394805306456,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.004395817578133369,"{0: 0.176338, 1: 0.176333, 2: 0.176399, 3: 0.176389, 4: 0.176379, 5: 0.118161}",0.0050416404260712816,0.006238136277299591,0.005368743882573364,0.0029729718643459833,0.006398899737249912,0.004422053162968124
50,rejected,0.002366518892356917,0.0013374206997586473,0.002366518892356917,0.0013374206997586473,0.5651423865390177,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.0020530384958489336,"{0: 0.176338, 1: 0.176334, 2: 0.1764, 3: 0.176388, 4: 0.176379, 5: 0.118161}",0.0028537861836632145,0.002138798475448064,0.0,0.004188349791358979,0.0031325446054035885,0.0016490351691770605
51,rejected,0.0025790119936998446,0.0006675282909914254,0.0025790119936998446,0.0006675282909914254,0.2588309142381603,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.002116953187835378,"{0: 0.176339, 1: 0.176333, 2: 0.176401, 3: 0.176388, 4: 0.176379, 5: 0.118161}",0.0020544663220699,0.003955581271899291,0.0022670229558732326,0.002405749483623508,0.0021150558026253774,0.002724493810421646
52,rejected,0.001802741885738468,0.0018754656945225807,0.001802741885738468,0.0018754656945225807,1.0403400891826695,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.00022815317623072393,"{0: 0.176339, 1: 0.176333, 2: 0.176398, 3: 0.176388, 4: 0.17638, 5: 0.118162}",0.001203622099894706,0.0,0.0055098996274701275,0.0024071370471878124,0.0005352943282217822,0.0008424307365917259
53,rejected,0.0020403419830006186,0.0010620357452363017,0.0020403419830006186,0.0010620357452363017,0.5205182432977151,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.001749666372738421,"{0: 0.17634, 1: 0.176333, 2: 0.176397, 3: 0.176389, 4: 0.17638, 5: 0.118162}",0.0018765290537575054,0.0030340320260452787,0.003736232664149515,0.001224934809861192,0.0008282865936268949,0.0012966582305110191
54,rejected,0.0026188072763456745,0.0016403106668344129,0.0026188072763456745,0.0016403106668344129,0.6263576763715317,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.002116953187835378,"{0: 0.176339, 1: 0.17633, 2: 0.176398, 3: 0.176389, 4: 0.176381, 5: 0.118163}",0.0035945373482493413,0.005615361678247818,0.0012788765843735831,0.0022409492706142913,0.00164255739149144,0.0007125233771063371
55,rejected,0.001528940257765411,0.0016596197512994465,0.001528940257765411,0.0016596197512994465,1.085469924282785,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.0002677830941224326,"{0: 0.17634, 1: 0.176329, 2: 0.176397, 3: 0.17639, 4: 0.176382, 5: 0.118163}",0.0011347356562115187,0.004132574793452562,0.003235129096476154,0.0,0.0,0.00024944829882672914
56,rejected,0.0016141691403238937,0.0013560252309192092,0.0016141691403238937,0.0013560252309192092,0.8400757745692867,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.00032409663399039903,"{0: 0.17634, 1: 0.176329, 2: 0.176396, 3: 0.17639, 4: 0.176381, 5: 0.118164}",0.0010600177000895366,0.00020183169078182408,0.0032729846248459086,0.0007051648538112655,0.0035541380978893907,0.0005335355771200892
57,accepted,0.037461948600636334,0.0009655674092184483,0.037461948600636334,0.0009655674092184483,0.025774617165200794,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.03716440013435755,"{0: 0.176325, 1: 0.176323, 2: 0.176408, 3: 0.176394, 4: 0.176386, 5: 0.118165}",0.039098358341087276,0.03818159053687553,0.03620971425778977,0.037029168235156694,0.03689747475408339,0.03730395927697245
58,rejected,0.009437876137636811,0.0008865348125946895,0.009437876137636811,0.0008865348125946895,0.09393370984448655,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.008832413670716084,"{0: 0.176325, 1: 0.176322, 2: 0.176411, 3: 0.176393, 4: 0.176383, 5: 0.118166}",0.009498235943014428,0.009784434372412412,0.008091585928060559,0.009898798605924592,0.010657519148052472,0.008331918635575046
59,rejected,0.0004538313382752957,0.0005295823901038218,0.0004538313382752957,0.0005295823901038218,1.166911974841634,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.0005571585098213948,"{0: 0.176324, 1: 0.176322, 2: 0.176411, 3: 0.176393, 4: 0.176383, 5: 0.118166}",0.0011065969738963065,0.0011921312505315902,0.0,0.0,0.0,0.0004105413355682759
